11111110 110 11110 11111 11111 100111	96	BREAK
11111110 110 11110 11111 11111 100111	100	BREAK
00000000000000000000000000000001	104	1
00000000000000000000000000000010	108	2
00000000000000000000000000000011	112	3
00000000000000000000000000000100	116	4
00000000000000000000000000000101	120	5
00000000000000000000000000000110	124	6
00000000000000000000000000000111	128	7
00000000000000000000000000001000	132	8
00000000000000000000000000001001	136	9
00000000000000000000000000001010	140	10
00000000000000000000000000001011	144	11
00000000000000000000000000001100	148	12
00000000000000000000000000001101	152	13
00000000000000000000000000001110	156	14
00000000000000000000000000001111	160	15
00000000000000000000000000010000	164	16
00000000000000000000000000010001	168	17
00000000000000000000000000010010	172	18
00000000000000000000000000010011	176	19
00000000000000000000000000010100	180	20
00000000000000000000000000000001	184	1
00000000000000000000000000000010	188	2
00000000000000000000000000000011	192	3
00000000000000000000000000000100	196	4
00000000000000000000000000000101	200	5
00000000000000000000000000000110	204	6
00000000000000000000000000000111	208	7
00000000000000000000000000001000	212	8
00000000000000000000000000001001	216	9
00000000000000000000000000001010	220	10
00000000000000000000000000001011	224	11
00000000000000000000000000001100	228	12
00000000000000000000000000001101	232	13
00000000000000000000000000001110	236	14
00000000000000000000000000001111	240	15
00000000000000000000000000010000	244	16
00000000000000000000000000010001	248	17
00000000000000000000000000010010	252	18
00000000000000000000000000010011	256	19
00000000000000000000000000010100	260	20
